ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
421,Hudson Tunnel,2016,Project Development,6.5,"$12,127.22 ","$5,338.68 ",$153.34 ,2029
422,Dallas North Central Corridor LRT,1994,Preliminary Engineering,11.4,$354.40 ,$177.20 , $-   ,NAV
422,Dallas North Central Corridor LRT,1997,Final Design,11.4,$347.10 ,$173.60 , $-   ,NAV
422,Dallas North Central Corridor LRT,1999,FFGA Awarded,12.5,$517.20 ,$333.00 ,,2003
422,Dallas North Central Corridor LRT,2002,Project Opening,12.5,$437.30 ,$333.00 ,NAV,2002
423,Dallas Trinity Railtran Phase 2,1996,Final Design,25,$129.01 ,$58.85 ,$18.80 ,1999
423,Dallas Trinity Railtran Phase 2,1998,Final Design,25,$141.40 ,$64.30 ,$41.40 ,2000
423,Dallas Trinity Railtran Phase 2,1999,Final Design,25,$160.60 ,$62.40 ,$57.60 ,2000
424,Dallas South Oak Cliff Corridor,1993,FFGA Awarded,9.6,$369.90 ,NAV,NAV,1996
424,Dallas South Oak Cliff Corridor,1996,Project Opening,9.6,$360.00 ,NAV,NAV,1996
425,Dallas Northwest / Southeast LRT MOS ,2001,Preliminary Engineering,22,"$1,123.61 ",$500.00 ,$34.88 ,NAV
425,Dallas Northwest / Southeast LRT MOS ,2001,Preliminary Engineering,21,"$1,237.50 ",$500.00 , NAV ,NAV
425,Dallas Northwest / Southeast LRT MOS ,2001,Preliminary Engineering,21,"$1,536.80 ",$700.00 , NAV ,NAV
425,Dallas Northwest / Southeast LRT MOS ,2001,Preliminary Engineering,21,"$1,151.40 ", NAV , NAV ,2010
425,Dallas Northwest / Southeast LRT MOS ,2005,Final Design,21,"$1,490.10 ",$700.00 , NAV ,2011
425,Dallas Northwest / Southeast LRT MOS ,2006,FFGA Awarded,21,"$1,406.22 ",$700.00 , NAV ,2011
425,Dallas Northwest / Southeast LRT MOS ,2010,Project Opening,21,"$1,406.22 ",$700.00 , NAV ,2011
426,Dallas Red and Blue Line Platform Extensions,2017,Engineering,48.1,$149.19 ,$74.45 , $-   ,2021
427,Dallas CBD Second Light Rail Alignment (D2 Subway),2015,Project Development,2.34,"$1,399.52 ",$669.76 , $-   ,2024
428,Houston Regional Bus Plan ,1994,FFGA Awarded,NA,$625.00 ,$500.00 , $-   ,2004
429,Houston North Corridor LRT(MOS) ,2005,Preliminary Engineering,5.4,$359.70 ,$179.80 , $-   ,NAV
429,Houston North Corridor LRT(MOS) ,2008,Preliminary Engineering,5.28,$677.03 ,$331.74 , $-   ,NAV
429,Houston North Corridor LRT(MOS) ,2009,Final Design,5.28,$756.00 ,$450.00 , $-   ,NAV
429,Houston North Corridor LRT(MOS) ,2011,FFGA Awarded,5.28,$756.00 ,$450.00 , $-   ,2015
430,Houston Southeast Corridor LRT,2008,Preliminary Engineering,6.2,$680.59 ,$333.49 , $-   ,NAV
430,Houston Southeast Corridor LRT,2009,Final Design,6.5,$822.91 ,$450.00 , $-   ,NAV
430,Houston Southeast Corridor LRT,2011,FFGA Awarded,6.56,$822.91 ,$450.00 , $-   ,2015
431,Houston University Corridor LRT,2009,Preliminary Engineering,11.36,"$1,496.94 ",$748.47 , $-   ,NAV
431,Houston University Corridor LRT,2010,Preliminary Engineering,11.3,"$1,563.07 ",$781.53 , $-   ,2020
432,Houston Downtown to Astrodome Light Rail,1999,Preliminary Engineering,7.5,$300.00 ,$64.90 ,$36.00 ,2004
433,Northwest/North Central Corridor ,1995,Preliminary Engineering,29, NAV , NAV , NAV ,NAV
434,Austin Light Rail Corridors,1997,Preliminary Engineering,14.6,$739.00 ,$369.50 , $-   ,NAV
434,Austin Light Rail Corridors,1997,Preliminary Engineering,14.6,$749.20 ,$374.60 , NAV ,NAV
435,MetroRapid Bus Rapid Transit Project ,2009,Project Development,37.5,$47.03 ,$37.62 , $-   ,NAV
435,MetroRapid Bus Rapid Transit Project ,2009,Project Development,37.5,$47.00 ,$37.60 , $-   ,2013
435,MetroRapid Bus Rapid Transit Project ,2012,PCGA,37.5,$47.62 , NAV , NAV ,2014
435,MetroRapid Bus Rapid Transit Project ,2014,Project Opening,37.5,$38.90 , NAV , NAV ,2014
436,Dyer Avenue Bus Rapid Transit System,2011,Project Development,12,$35.25 ,$20.41 ,$6.05 ,2015
436,Dyer Avenue Bus Rapid Transit System,2012,Project Development,12,$35.90 ,$20.40 ,$8.28 ,2015
436,Dyer Avenue Bus Rapid Transit System,2014,Project Development,12,$35.89 ,$20.40 ,$7.29 ,2017
436,Dyer Avenue Bus Rapid Transit System,2014,Project Development,12,$34.23 ,$19.35 ,$6.63 ,2017
437,Montana Avenue Rapid Transit System,2013,Project Development,16.8,$43.36 ,$25.74 ,$8.85 ,2016
437,Montana Avenue Rapid Transit System,2014,Project Development,16.8,$45.52 ,$26.97 ,$7.76 ,2019
437,Montana Avenue Rapid Transit System,2015,Project Development,16.8,$46.99 ,$28.22 ,$7.64 ,2020
438,Sun Metro Areas Rapid Transit (SMART) Starter Line ,2003,Preliminary Engineering,NAV,$10.00 ,$8.00 , NAV ,NAV
439,TEX Rail,2012,Project Development,37.6,$959.13 ,$479.56 ,$76.30 ,2016
439,TEX Rail,2014,Project Development,27.2,$809.77 ,$404.88 ,$61.65 ,2017
439,TEX Rail,2014,Project Development,27.2,$891.90 ,$445.95 ,$40.95 ,2018
439,TEX Rail,2015,Engineering,27.2,$998.78 ,$499.39 ,$39.87 ,2018
439,TEX Rail,2016,FFGA Awarded,26.8,"$1,034.41 ",$499.39 ,$37.50 ,2020
439,TEX Rail,2019,Project Opening,26.8,"$1,034.41 ",$499.39 ,$37.50 ,2019
440,San Antonio Modern Streetcar Project,2013,Project Development,5.9, NAV , NAV , NAV ,NA (On Hold)
441,Rail Trolley Extension ,2001,Final Design,1.5,$9.40 ,$8.30 ,$0.53 ,NAV
442,Waco Rapid Transit Corridor,2019,Project Development,13.3,$19.40 , NAV , NAV ,2022
443,Denver SW Corridor LRT,1996,FFGA Awarded,8.7,$177.40 ,$120.00 ,$0.90 ,2000
443,Denver SW Corridor LRT,1996,FFGA Awarded,8.7,$176.32 ,$120.00 ,$18.88 ,2000
443,Denver SW Corridor LRT,2000,Project Opening,8.7,$177.70 ,$120.00 ,NAV,2000
444,Denver West Corridor LRT,2001,Preliminary Engineering,11,$624.30 ,$366.30 ,$2.00 ,NAV
444,Denver West Corridor LRT,2001,Preliminary Engineering,12,$686.60 ,$412.00 , NAV ,NAV
444,Denver West Corridor LRT,2001,Preliminary Engineering,12,$749.70 ,$412.00 , NAV ,NAV
444,Denver West Corridor LRT,2001,Preliminary Engineering,12.1,$561.90 ,$249.00 , NAV ,2013
444,Denver West Corridor LRT,2005,Final Design,12.1,$593.00 ,$290.60 ,$2.00 ,2013
444,Denver West Corridor LRT,2006,Final Design,12.1,$574.18 ,$290.55 ,$9.50 ,NAV
444,Denver West Corridor LRT,2008,Final Design,12.1,$656.83 ,$290.55 , NAV ,2013
444,Denver West Corridor LRT,2009,FFGA Awarded,12.1,$709.83 ,$308.68 ,$9.50 ,2013
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),2009,Preliminary Engineering,33.5,"$2,903.28 ","$1,030.44 ",$34.81 ,NAV
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),2009,Preliminary Engineering,33.6,"$2,480.63 ","$1,030.44 ",$34.81 ,NAV
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),2010,Final Design,30.2,"$2,043.14 ","$1,030.45 ",$62.10 ,NAV
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),2011,FFGA Awarded,30.2,"$2,043.14 ","$1,030.45 ",$62.10 ,2016
446,Denver Southeast Corridor LRT ,1998,Preliminary Engineering,19,$882.50 ,$525.00 , $-   ,2007
446,Denver Southeast Corridor LRT ,2000,FFGA Awarded,19.12,$879.27 ,$525.00 , $-   ,2008
446,Denver Southeast Corridor LRT ,2006,Project Opening,19.12,$850.80 ,$525.00 ,NAV,2006
447,Denver Southeast Rail Extension,2013,Project Development,2.3,$210.74 ,$92.00 ,$7.50 ,2019
447,Denver Southeast Rail Extension,2014,Project Development,2.3,$224.29 ,$92.00 ,$7.50 ,2019
447,Denver Southeast Rail Extension,2015,Engineering,2.3,$223.58 ,$92.00 ,$7.50 ,2019
