ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
,,2013,Project Development,3,129.34,56,,2017
509,Central Mesa Light Rail Transit Extension,2010,Project Development,3.1,198.5,,,
,,2012,FFGA Awarded,3.1,199.01,74.99,52.84,2016
,,2012,PCGA,3.1,196.1,,,
,,2014,Project Opening,3.1,,,,
510,Transit Spine BRT,2016,Project Development,13,32.9,,,2021
511,Mountain Link BRT Project,2009,Project Development,4,,,,
,,2011,SSGA,4,,,,
,,2011,Project Opening,4,,,,2011
512,Northstar Corridor Rail,2000,Preliminary Engineering,80,223,112,,
,,2000,Preliminary Engineering,82,294,147,,
,,2000,Preliminary Engineering,82,301.9,150.9,,
,,2000,Preliminary Engineering,40.1,310,155,,
,,2005,Preliminary Engineering,40,265.2,131,5.1,
,,2005,Preliminary Engineering,40,265.1,,,
,,2006,Final Design,40,307.2,,,
,,2007,FFGA Awarded,40.1,317.38,156.81,5.18,2010
,,2007,FFGA Awarded,40,307.2,,,
2009,,2009,Project Opening,40,,,,
513,Southwest Light Rail Transit,2011,Preliminary Engineering,15.8,1250.48,625.24,,2017
,,2011,Preliminary Engineering,14.5,2003.15,928.84,,2023
,,2013,Project Development,15.8,1250.48,625.24,,2018
,,2013,Project Development,15.7,1653.45,826.72,,2020
,,2016,Engineering,,,,,2016
,,2016,Engineering,14.5,2003.15,928.84,,2023
514,METRO Blue Line Extension,2014,Project Development,13,1002,510,,2020
,,2016,Engineering,,1.54,752.7,,
,,2017,Engineering,13.5,1536.18,752.74,,2025
515,METRO Orange Line Bus Rapid Transit Project,2014,Project Development,17,150.7,64.63,,2019
516,Hiawatha Corridor LRT,1999,Preliminary Engineering,11.6,,,,
,,2000,Final Design,11.6,,,,
,,2001,FFGA Awarded,11.6,675.43,334.28,48.5,2004
,,2001,FFGA Awarded,11.6,675.43,334.28,49.5,2004
517,Central Corridor LRT,2006,Preliminary Engineering,9.8,,,,
,,2011,FFGA Awarded,9.8,956.9,473.95,4.5,2014
518,METRO Gold Bus Rapid Transit,2018,Project Development,,420,189,,
,,2019,Project Development,10.3,460.9,207.41,4.4,2005
519,Rochester Downtown Circulator Bus Rapid Transit,2020,Project Development,4,203,99.5,,
520,Wilmington to Newark Commuter Rail Improvements,2004,Preliminary Engineering,1.5,54.9,24.9,9.9,2009
,,2007,Final Design,1.5,78.42,24.99,18.82,
521,LYNX Blue Line Extension - Northeast Corridor,2007,Preliminary Engineering,9.3,1069.22,534.61,,
,,2012,FFGA Awarded,,1160.08,580.04,,2018
,,2012,FFGA Awarded,,1160.08,580.04,,2018
,,2012,FFGA Awarded,,1160.08,580.04,,2018
522,CityLYNX Gold Line Phase 2 Streetcar,2011,Project Development,2.5,126,63,,2018
,,2014,Project Development,2.5,150,74.99,,2019
,,2016,CGA,,,,,
523,Blue Line Capacity Expansion,2015,Project Development,NA,40.2,24.1,,
524,South Corridor Light Rail Project,2000,Preliminary Engineering,11,331.1,166.8,,
,,2000,Preliminary Engineering,11.2,348.2,174.1,,
,,2000,Preliminary Engineering,9.6,370,185.4,,
,,2003,Final Design,9.6,385.9,193,,
,,2003,Final Design,9.6,426.85,192.94,6.41,
,,2005,FFGA Awarded,9.6,426.84,,,2007
,,2007,FFGA Awarded,9.6,462.75,,,2007
,,2009,Project Opening,9.6,,,,2007
525,Durham-Orange LRT,2014,Project Development,17.1,1800,910.3,,2026
,,2017,Engineering,,2376.3,1238.2,,
526,Regional Rail System,1998,Preliminary Engineering,34.7,754.7,377.3,14,
,,1998,Preliminary Engineering,35.2,754.8,377.3,14,
,,1998,Preliminary Engineering,35.1,832.2,447,14,
,,1998,Preliminary Engineering,28.1,,,,
,,2003,Final Design,28.1,843.8,413.5,5,
,,2004,Final Design,28.1,809.9,485.4,12,
527,North-South BRT,2016,Project Development,8.2,141.39,100,,2024
528,Wake Bus Rapid Transit: New Bern Avenue Project,2019,Project Development,5,71.45,35.05,,2023
529,Lowcountry Rapid Transit Project,2020,Project Development,26,387.5,,,
530,IndyGO Purple Line BRT,2017,Project Development,14.8,155,77.5,21.93,2023
531,Red Line All-Electric BRT,2015,Project Development,,,,,
532,IndyGO Blue Line Rapid Transit,2019,Project Development,24,220,100,14.5,2025
533,West Lake Corridor,2016,Project Development,,543,,,
,,2016,Project Development,7.8,933.09,354.57,,2025
,,2019,Engineering,7.8,933.09,354.57,,2025
534,South Shore Line /Double Track Northwest Indiana,2016,Project Development,26.6,456.05,172.96,,2024
,,2020,Engineering,26.6,456.05,172.96,,2024
535,New Britain Hartford Busway,2000,Preliminary Engineering,9.6,80,51.6,12.4,
,,2000,Preliminary Engineering,9.6,82,51.6,14,
,,2000,Preliminary Engineering,9.6,160,79.4,48.6,2003
,,2000,Preliminary Engineering,9.4,175,87.5,51.7,2007
,,2000,Preliminary Engineering,9.4,335.5,167.8,85,2011
,,2006,Final Design,9.4,572.69,275.3,179.53,
,,2014,Final Design,9.4,567.05,275.3,179.54,2015
,,2011,FFGA Awarded,9.4,572.69,275.3,185.67,2015
536,Urban Transitway Phase II,2006,Preliminary Engineering,0.6,48.31,33.52,1.09,
,,2007,Final Design,0.6,48.31,33.52,1.09,
537,Urban Transitway Phase I,2000,Preliminary Engineering,1,24,18,0.2,
538,Bridgeport Innermodal Transportation Center Phase 2B and 3,2001,Preliminary Engineering,1,62.4,24.9,5,
539,High Capacity Transit Corridor Project,2009,Preliminary Engineering,20,5125.96,1550,248,
,,2011,Final Design,20,5125.96,1550,248,
,,2012,FFGA Awarded,20,5125.96,1550,248,2020
540,Primary Corridor Transportation Project,2001,Preliminary Engineering,32,684.3,231.6,186.6,
,Silver Line BRT,2007,Project Development,9.6,35.29,28.22,,2014
,,2012,FFGA Awarded,9.6,39.86,18.99,12.89,2014
542,Laker Line BRT,2015,Project Development,,56.8,,,
543,Michigan/Grand River BRT,2013,Project Development,8.5,215.36,74.99,89.47,2016
,,2014,Project Development,8.5,215.36,74.99,89.47,2018
544,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,2014,Project Development,17,NAV,NAV,,2017
545,4th Street/Prater Way BRT Project,2013,Project Development,3.2,52.6,24.6,,2017
,,2016,CGA,,,,,
546,Virginia Street BRT Extension Project,2013,Project Development,1.8,27.3,,,2018
547,Resort Corridor Fixed Guideway,1998,Preliminary Engineering,4.7,597,210,,
,,1998,Preliminary Engineering,3.1,440,130,156,
,,1998,Preliminary Engineering,2.3,453.9,159.7,160.8,
548,Maryland Parkway High Capacity Transit Project,2020,Project Development,8.7,,,,2024
549,East-West Connector BRT Project/ The AMP,2014,Project Development,7.1,174,74.99,4,2016
550,East Corridor Commuter Rail,1999,Preliminary Engineering,31.1,33.2,22.9,3.7,
,,1999,Preliminary Engineering,32,,,,
,,2001,Final Design,32,33.2,22.9,3.7,
,,2001,Final Design,32,37.6,23,7.1,
,,2001,Final Design,32,41,24,8.4,
551,Medical Center Extension,1998,Preliminary Engineering,2,,,,2004
,,2000,Final Design,2,,,,2004
,,2000,FFGA Awarded,2,74.58,59.68,,2004
552,Memphis Innovation Corridor Project,2020,Project Development,8,,,,2026
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2000,Preliminary Engineering,23,287.3,,1,
,,2000,Preliminary Engineering,23.5,389.1,233.5,1,
,,2000,Preliminary Engineering,23.5,357.1,214.3,,
,,2005,Preliminary Engineering,11.6,1840.1,920,,2014
,,2008,Final Design,11.7,3142.47,900,75,2014
,,2009,FFGA Awarded,11.7,3142.47,900,75,2014
,,2009,FFGA Awarded,11.7,3142.47,900,75,2014
554,East West Corridor BRT,2016,Project Development,9.1,54.79,40.93,2.27,2021
555,Madison East West Bus Rapid Transit,2020,,15,,,,
556,Pawtucket Central Falls Commuter Rail Station,2010,Preliminary Engineering,,53.64,24.99,11,2018
557,Rhode Island Commuter Rail Improvement,2001,Final Design,,18.5,10,4.7,2002
,,2001,Final Design,,18.5,10,,2004
558,South County Commuter Rail,2004,Preliminary Engineering,20,43.7,24.9,9.9,
559,Transportation Tomorrow South Central Corridor LRT,2001,Preliminary Engineering,17.5,748.1,24.9,37.6,
,,2001,Preliminary Engineering,15,671.2,380.2,49.8,
